create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
45567,45612,4254,25785,1,Running,50.0,0.0042036600833484,45567,45612,292.0,Running,1,1,,,,
45567,45612,4254,25782,6,Running,50.0,0.0107058732171977,45567,45612,813.0,Running,1,1,,,,
45567,45612,4254,25783,1,Running,50.0,0.0080552895193228,45567,45612,335.0,Running,1,1,,,,
45567,45612,4254,25778,315,Running,50.0,0.00822095100044,45567,45612,162.0,Running,1,1,,,,
47475,47489,4341,26411,3,Running,50.0,0.0041415370279294,47475,47489,1034.0,Running,1,1,,,,
47475,47489,4341,26406,3,Running,50.0,0.0041622447130691,47475,47489,347.0,Running,1,1,,,,
47475,47489,4341,26409,235,Running,50.0,0.0133564569150726,47476,47489,1301.0,Running,1,1,,,,
47475,47489,4341,26410,2,Running,50.0,0.0097170812517795,47475,47489,548.0,Running,1,1,,,,
47532,47572,4353,26503,1,Running,50.0,0.0043227292729014,47542,47572,1297.0,Running,1,1,,,,
47532,47572,4353,26498,1,Running,50.0,0.0045867522584319,47542,47572,591.0,Running,1,1,,,,
47532,47572,4353,26497,313,Running,50.0,0.0081225894960267,47542,47572,595.0,Running,1,1,,,,
47532,47572,4353,26502,6,Running,50.0,0.0133564569150726,47542,47572,1114.0,Running,1,1,,,,
47607,47638,4355,26517,1,Running,50.0,0.0041415370279294,47607,47638,902.0,Running,1,1,,,,
